S 18d0ac,1 miss 
L 18d140,8 miss 
L 18d0a4,4 hit 
L 18d0a0,4 hit 
L 10d0a0,4 miss eviction 
L 10cf80,8 miss 
L 4a44528,8 miss 
L 4c2ff48,8 miss 
L 4c31788,8 miss eviction 
L 4a44528,8 hit 
L 4c2fe70,8 miss 
L 4a44480,4 miss 
L 4c31760,4 miss 
S 4c31760,4 hit 
L 4c316a0,4 miss 
L 4c30040,8 miss 
L 10b0e0,32 miss 
L 4c36170,4 miss 
L 4c2ff68,8 miss eviction 
L 4c31728,8 miss 
L 4a44510,8 miss 
L 4c334c8,8 miss 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
L 4c316c8,8 miss 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c31778,8 hit 
L 4c324b8,8 miss eviction 
L 4c316a0,4 hit 
L 4c316c0,8 hit 
L 4c316d8,8 hit 
L 4c316a0,4 hit 
L 4c31778,8 hit 
L 4c32508,8 miss eviction 
L 4a44528,8 hit 
L 4c31710,4 miss 
L 4c31778,8 hit 
L 4c32530,8 miss eviction 
L 4c31710,4 hit 
L 4c2fe30,8 miss 
L 4c2fef0,8 miss 
L 4c30b70,8 miss eviction 
L 4c2fd78,8 miss eviction 
L 4a444b0,8 miss eviction 
L 4c302d0,8 miss eviction 
L 4a44518,4 miss eviction 
L 4c33b80,8 miss eviction 
L 4c30b88,4 miss eviction 
L 4c2fd78,8 hit 
L 4a444b0,8 hit 
L 4c302d0,8 hit 
L 4c30bf8,8 miss 
L 4c31290,8 miss 
L 4c313ec,4 miss eviction 
L 4c30be0,8 miss eviction 
L 4030478,8 miss 
L 4c31408,8 miss 
S 4c30be0,8 hit 
S 4030478,8 hit 
S 4032488,8 miss eviction 
L 4c33b6c,4 miss eviction 
L 4030478,8 hit 
L 4c316d8,8 miss eviction 
L 4c316a0,4 hit 
S 4c316d8,16 hit 
S 4c316a0,4 hit 
L 4a44528,8 miss eviction 
L 4c316d8,8 hit 
L 4c316a0,4 hit 
S 4c316b8,8 hit 
S 4c316a8,8 hit 
S 4c316b0,8 hit 
L 4c316e0,8 miss eviction 
L 4c316b0,8 hit 
S 4c316a8,8 hit 
S 4c316a0,4 hit 
L 4c31760,4 miss eviction 
S 4c316b8,16 hit 
S 4c316c8,16 hit 
L 4c316e0,8 hit 
L 4c316d8,8 hit 
L 4c316c8,8 hit 
L 4c316d0,8 hit 
L 10b0f1,1 hit 
S 4030480,1 miss eviction 
L 10b0f2,1 hit 
S 4030481,1 hit 
L 10b0f3,1 hit 
S 4030482,1 hit 
L 10b0f4,1 hit 
S 4030483,1 hit 
S 4c316c8,8 hit 
L 10b0f5,1 hit 
L 4c35ff8,8 miss eviction 
L 4c36000,8 miss eviction 
L 4c36358,8 miss eviction 
L 10b0f6,1 hit 
